County,Total Population,Total Population of One Race,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Nattive Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Population of Two or More Races,2020 Personal Income Per Capita (in dollars),2019 Personal Income Per Capita (in dollars),Violent Crime Rate (per 1000),Property Crime Rate (per 1000),Drug and Alcohol Crime Rate (per 1000),2018 Midterm turnout (%),Higher Income,Higher proportion minority
Adams County,"103,852","98,221","91,460","1,559",340,975,37,"3,850","5,631",52801,49380,6.61,8.96,9.29,58.58,1,1
Allegheny County,"1,250,578","1,184,872","946,321","163,678","1,909","58,541",357,"14,066","65,706",66702,63478,10.83,21.76,10.69,57.54,1,1
Armstrong County,"65,558","63,397","62,513",445,66,160,14,199,"2,161",50598,46020,6.93,10.45,11.96,60.29,1,0
Beaver County,"168,215","158,856","144,954","11,168",243,"1,028",59,"1,404","9,359",53495,49021,7.69,18.07,14.11,61.75,1,1
Bedford County,"47,577","46,163","45,569",192,78,153,4,167,"1,414",46031,42995,10.03,11.06,8.84,58.97,0,0
Berks County,"428,849","390,204","309,107","21,992","2,252","6,413",170,"50,270","38,645",55045,50657,13.41,16.93,10.57,56.8,1,1
Blair County,"122,822","117,986","113,618","2,533",164,878,13,780,"4,836",51007,47034,11.68,15.48,12.94,57.97,1,0
Bradford County,"59,967","57,329","56,026",404,136,465,14,284,"2,638",46144,43589,10.39,17.6,11.15,57.17,0,0
Bucks County,"646,538","609,656","529,895","26,373","1,173","35,216",178,"16,821","36,882",79239,75056,3.32,13.91,8.67,64.39,1,1
Butler County,"193,763","185,875","179,140","2,243",234,"2,814",41,"1,403","7,888",63693,60060,4.87,12.63,7.43,62.38,1,0
Cambria County,"133,472","127,790","120,248","5,828",135,782,37,760,"5,682",46609,43120,8.09,16.44,10.86,60.22,0,0
Cameron County,"4,547","4,379","4,285",16,9,29,0,40,168,51527,46309,10.97,16.46,12.73,61.31,1,0
Carbon County,"64,749","61,587","58,531","1,208",152,330,20,"1,346","3,162",56231,52818,10.26,21.65,15.62,52.87,1,0
Centre County,"158,172","150,412","131,212","5,476",202,"11,404",45,"2,073","7,760",52699,49211,4.11,12.22,15.3,54.86,1,1
Chester County,"534,413","498,342","413,103","29,526","1,450","35,252",133,"18,878","36,071",91122,87486,4.42,11.72,9.71,66.22,1,1
Clarion County,"37,241","36,122","35,159",552,47,175,16,173,"1,119",47111,43226,7.5,8.82,13.44,62.14,0,0
Clearfield County,"80,562","78,074","75,093","1,906",82,450,0,543,"2,488",49517,45050,10.68,20.03,13.72,57.7,0,0
Clinton County,"37,450","36,161","35,169",447,72,212,7,254,"1,289",47075,43321,6.44,11.61,11.94,60.34,0,0
Columbia County,"64,727","62,196","59,549",912,100,759,19,857,"2,531",47565,43624,5.65,15.72,16.49,59,0,0
Crawford County,"83,938","80,387","77,804","1,530",124,374,26,529,"3,551",45838,41976,7.53,13.92,10.9,56.04,0,0
Cumberland County,"259,469","245,348","214,921","11,081",513,"13,911",126,"4,796","14,121",61296,56628,5.38,9.16,6.8,61.17,1,1
Dauphin County,"286,401","264,899","180,980","50,868",799,"17,277",109,"14,866","21,502",55487,52037,13.02,22.13,19.04,59.08,1,1
Delaware County,"576,830","546,811","367,718","129,242","1,092","36,457",153,"12,149","30,019",72700,69433,6.62,20.53,9.94,59.95,1,1
Elk County,"30,990","29,880","29,555",80,22,113,12,98,"1,110",51310,46954,8.87,19.09,11.73,59.05,1,0
Erie County,"270,876","254,881","222,731","20,584",477,"6,380",60,"4,649","15,995",49969,45883,10.13,22.64,12.09,53.43,0,1
Fayette County,"128,804","123,073","115,811","5,789",213,383,161,716,"5,731",47448,43186,11.56,25.13,13.29,52.94,0,0
Forest County,"6,973","6,842","5,296","1,237",9,19,0,281,131,28305,24922,10.62,9.53,6.4,58.74,0,1
Franklin County,"155,932","146,999","134,524","5,338",488,"1,442",52,"5,155","8,933",51665,48017,9.1,15.08,7.39,59.62,1,1
Fulton County,"14,556","14,024","13,767",128,31,41,3,54,532,48242,45295,11.21,13.86,15.21,58.88,0,0
Greene County,"35,954","34,563","33,027","1,083",77,120,6,250,"1,391",47846,44620,5.57,14.44,7.81,57.82,0,0
Huntingdon County,"44,092","42,724","39,624","2,271",56,210,17,546,"1,368",44087,39855,7.45,11.89,10.07,53.25,0,1
